name,surface,year,num_wins,num_losses,num_upsets,num_was_upset,sets_won,sets_lost,avg_sets_lost
haddad maia b.,Hard,2021,2,2,2,1,5,4,0
haddad maia b.,Hard,2022,18,16,6,6,41,40,0.4444444444444445
haddad maia b.,Hard,2023,9,7,2,4,21,19,0.5555555555555556
halep s.,Clay,2021,4,2,0,2,9,4,0
halep s.,Clay,2022,5,3,2,1,11,7,0.2
halep s.,Grass,2022,11,2,1,2,23,5,0.0909090909090909
halep s.,Hard,2021,20,7,0,4,41,20,0.3
halep s.,Hard,2022,23,5,4,3,49,15,0.21739130434782608
han n.l.,Hard,2022,1,1,0,0,2,2,0
han n.l.,Hard,2023,1,1,1,0,3,3,1
harrison ca.,Grass,2022,1,1,1,0,2,2,0
hartono a.,Grass,2022,1,1,0,0,2,3,1
hartono a.,Hard,2021,1,1,1,0,3,3,1
havlickova l.,Hard,2022,1,1,1,0,2,2,0
hercog p.,Clay,2021,2,5,2,1,5,11,0.5
hercog p.,Hard,2021,2,8,0,2,7,17,0.5
hibi m.,Hard,2021,1,2,1,0,2,5,1
hibino n.,Clay,2021,2,6,0,3,4,12,0
hibino n.,Grass,2021,1,2,1,2,2,5,1
hibino n.,Hard,2021,1,7,0,4,4,15,1
hibino n.,Hard,2022,4,4,3,0,9,9,0.25
hibino n.,Hard,2023,2,4,1,0,5,8,0
hon p.,Hard,2022,1,4,1,1,3,9,1
hontama m.,Hard,2021,2,2,2,0,5,5,0.5
hruncakova v.,Grass,2023,3,1,1,0,6,2,0
hsieh s.w.,Hard,2021,9,9,4,2,21,21,0.33333333333333337
hunter s.,Clay,2023,1,1,1,0,3,3,1
inglis m.,Clay,2021,1,1,0,0,2,2,0
inglis m.,Hard,2021,3,6,1,1,7,14,0.6666666666666666
inglis m.,Hard,2022,3,4,2,1,8,10,0.6666666666666666
jabeur o.,Clay,2021,13,3,0,2,27,9,0.23076923076923075
jabeur o.,Clay,2022,17,4,1,2,37,15,0.4117647058823529
jabeur o.,Clay,2023,10,2,0,2,21,6,0.2
jabeur o.,Grass,2021,10,2,2,1,21,7,0.3
jabeur o.,Grass,2022,10,1,0,1,21,5,0.3
jabeur o.,Grass,2023,1,2,0,2,2,4,0
jabeur o.,Hard,2021,24,11,5,4,52,32,0.41666666666666663
jabeur o.,Hard,2022,19,10,0,8,42,26,0.3157894736842105
jabeur o.,Hard,2023,4,4,0,4,10,10,0.5
jacquemot e.,Clay,2022,1,1,1,0,2,2,0
jang s.,Hard,2023,1,1,1,0,2,3,1
jani r.l.,Clay,2021,3,2,3,0,7,6,0.6666666666666666
janicijevic s.,Clay,2023,1,2,0,0,3,5,1
jeanjean l.,Clay,2022,3,3,3,0,6,6,0
jeanjean l.,Clay,2023,2,2,1,1,4,6,1
jimenez v.,Hard,2022,2,2,2,0,4,4,0
jones f.,Clay,2023,3,1,3,0,6,2,0
jones f.,Hard,2021,1,3,1,0,2,7,1
jorovic i.,Clay,2021,1,3,1,0,2,7,1
juvan k.,Clay,2022,5,3,2,0,13,6,0
juvan k.,Grass,2021,2,1,1,0,4,2,0
juvan k.,Grass,2022,2,2,1,2,4,5,0.5
juvan k.,Hard,2021,9,9,5,3,21,21,0.33333333333333337
juvan k.,Hard,2022,6,8,3,3,15,17,0.16666666666666666
juvan k.,Hard,2023,1,2,0,0,2,4,0
kalinina a.,Clay,2021,4,2,2,0,8,4,0
kalinina a.,Clay,2022,7,4,5,1,16,10,0.2857142857142857
kalinina a.,Clay,2023,5,3,3,3,10,9,0.6
kalinina a.,Grass,2022,4,4,2,1,10,12,1
kalinina a.,Grass,2023,2,3,0,2,5,6,0
kalinina a.,Hard,2021,6,6,1,0,14,13,0.16666666666666669
kalinina a.,Hard,2022,7,9,3,3,18,21,0.42857142857142855
kalinina a.,Hard,2023,8,7,2,3,19,18,0.5
kalinskaya a.,Clay,2021,1,3,1,1,3,6,0
kalinskaya a.,Clay,2022,1,3,1,2,5,7,1
kalinskaya a.,Clay,2023,7,1,5,0,15,6,0.5714285714285714
kalinskaya a.,Grass,2022,2,3,1,0,5,6,0
kalinskaya a.,Hard,2021,11,8,11,1,25,21,0.45454545454545453
kalinskaya a.,Hard,2022,12,3,10,0,26,12,0.5
kalinskaya a.,Hard,2023,6,6,2,1,17,13,0.16666666666666666
kanepi k.,Clay,2021,1,3,0,0,3,6,0
kanepi k.,Clay,2022,5,3,2,1,11,8,0.4
kanepi k.,Clay,2023,1,5,0,2,5,10,0
kanepi k.,Grass,2022,1,3,0,1,4,7,1
kanepi k.,Hard,2021,9,8,6,1,19,20,0.4444444444444444
kanepi k.,Hard,2022,16,10,7,2,37,28,0.5
kanepi k.,Hard,2023,2,6,1,3,6,13,0.5
kasatkina d.,Clay,2021,5,5,1,3,11,12,0.4
kasatkina d.,Clay,2022,11,5,4,2,25,13,0.2727272727272727
kasatkina d.,Clay,2023,10,5,0,4,22,12,0.2
kasatkina d.,Grass,2021,6,3,1,1,14,10,0.6666666666666666
kasatkina d.,Grass,2022,4,2,0,1,8,7,0.75
kasatkina d.,Grass,2023,3,2,0,2,7,5,0.33333333333333337
